Date,Total-Score,E-Score,S-Score,G-Score
2014-09-01,67.0,68.0,64.0,71.0
2014-10-01,67.0,68.0,64.0,71.0
2014-11-01,67.0,68.0,64.0,71.0
2014-12-01,67.0,68.0,64.0,71.0
2015-01-01,67.0,68.0,64.0,71.0
2015-02-01,69.0,68.0,69.0,71.0
2015-03-01,69.0,67.0,69.0,71.0
2015-04-01,69.0,67.0,69.0,71.0
2015-05-01,69.0,67.0,69.0,71.0
2015-06-01,69.0,67.0,69.0,71.0
2015-07-01,69.0,67.0,69.0,71.0
2015-08-01,69.0,66.0,69.0,71.0
2015-09-01,69.0,66.0,69.0,71.0
2015-10-01,69.0,66.0,69.0,70.0
2015-11-01,69.0,66.0,69.0,70.0
2015-12-01,69.0,66.0,69.0,71.0
2016-01-01,68.67,66.44,69.46,70.53
2016-02-01,68.67,66.44,69.46,70.53
2016-03-01,68.67,66.44,69.46,70.53
2016-04-01,65.34,63.21,64.45,69.77
2016-05-01,65.34,63.21,64.45,69.77
2016-06-01,65.34,63.21,64.45,69.77
2016-07-01,65.24,62.92,64.45,69.77
2016-08-01,65.24,62.92,64.45,69.77
2016-09-01,65.24,62.92,64.45,69.77
2016-10-01,65.24,62.92,64.45,69.77
2016-11-01,65.24,62.92,64.45,69.77
2016-12-01,65.21,62.92,64.38,69.77
2017-01-01,66.42,66.06,64.42,70.11
2017-02-01,66.42,66.06,64.42,70.11
2017-03-01,66.42,66.06,64.42,70.11
2017-04-01,67.94,67.28,66.12,71.78
2017-05-01,68.26,68.19,66.12,71.78
2017-06-01,68.26,68.19,66.12,71.78
2017-07-01,68.26,68.19,66.12,71.78
2017-08-01,68.26,68.19,66.12,71.78
2017-09-01,68.26,68.19,66.12,71.78
2017-10-01,67.6,69.41,67.3,65.56
2017-11-01,67.6,69.41,67.3,65.56
2017-12-01,67.6,69.41,67.3,65.56
2018-01-01,67.6,69.41,67.3,65.56
2018-02-01,67.6,69.41,67.3,65.56
2018-03-01,66.84,68.74,66.68,64.46
2018-04-01,66.84,68.74,66.68,64.46
2018-05-01,66.84,68.74,66.68,64.46
2018-06-01,66.84,68.74,66.68,64.46
2018-07-01,66.84,68.74,66.68,64.46
2018-08-01,66.84,68.74,66.68,64.46
2018-09-01,66.84,68.74,66.68,64.46
2018-10-01,66.84,68.74,66.68,64.46
2018-11-01,66.84,68.74,66.68,64.46
2018-12-01,65.14,63.87,66.68,64.46
2019-01-01,65.14,63.87,66.68,64.46
2019-02-01,65.14,63.87,66.68,64.46
2019-03-01,65.14,63.87,66.68,64.46
2019-04-01,64.86,63.87,66.68,63.35
2019-05-01,64.86,63.87,66.68,63.35
2019-06-01,64.86,63.87,66.68,63.35
2019-07-01,60.43,53.49,64.68,63.35
2019-08-01,60.43,53.49,64.68,63.35
2019-09-01,60.43,53.49,64.68,63.35
2019-10-01,60.43,53.49,64.68,63.35
2019-11-01,60.43,53.49,64.68,63.35
2019-12-01,58.07,50.47,61.01,64.01
2020-01-01,28.13,9.22,11.65,7.27
2020-02-01,28.13,9.22,11.65,7.27
2020-03-01,28.13,9.22,11.65,7.27
2020-04-01,,,,
2020-05-01,,,,
2020-06-01,,,,
2020-07-01,27.81,9.22,11.65,6.95
2020-08-01,27.81,9.22,11.65,6.95
2020-09-01,,,,
2020-10-01,27.78,9.22,12.1,6.46
2020-11-01,,,,
2020-12-01,,,,
2021-01-01,26.83,8.65,11.66,6.51
2021-02-01,26.83,8.65,11.66,6.51
2021-03-01,26.83,8.65,11.66,6.51
2021-04-01,,,,
2021-05-01,26.53,8.65,11.66,6.21
2021-06-01,,,,
2021-07-01,,,,
2021-08-01,,,,
2021-09-01,26.53,8.65,11.66,6.21
